,Title,Release Date,Team,Rating,Times Listed,Number of Reviews,Genres,Summary,Reviews,Plays,Playing,Backlogs,Wishlist;
"23,Grand Theft Auto V,""Sep 17, 2013"",""['Rockstar North', 'Rockstar Games']"",3.8,2.1K,2.1K,""['Adventure', 'Shooter']"",""Grand Theft Auto V is a vast open world game set in Los Santos, a sprawling sun-soaked metropolis struggling to stay afloat in an era of economic uncertainty and cheap reality TV. The game blends storytelling and gameplay in new ways as players repeatedly jump in and out of the lives of the game’s three lead characters, playing all sides of the game’s interwoven story."",""['People be rating this a 3.... BITCH BE SERIOUS!', 'incredible spectacle and movie esque cutscenes backed up by memorable characters. inarguably one of the most recognizable games of the decade, however is held back by lackluster gameplay.', 'Bom jogo, importante pra caramba e tudo mais, mas, sinceramente, tantas horas de gameplay me divertiram muito, mas me recepcionaram na história. Não que eu eu esperasse algo muito elaborado, mas senti que não foi conclusiva ou evoluísse os personagens. É divertido, muito mesmo, e a liberdade é ótima. Passei muito tempo jogando tênis, dirigindo pelas colinas, fazendo coisas aleatórias, e a experiência é ótima. Em pleno começo de 2023, talvez não seja lá grande coisa jogar um jogo assim no sentido de muita coisa legal pra fazer, mas na época era uma baita inovação e merece respeito pelo que até hoje impressiona.', 'i cannot picture a world where someone gives this less than a 10', 'I really wanted to love this game more. The playing world is stunning with colorful and great recreations of actual locations and landmarks. Having to juggle between 3 characters is a brilliant idea. But I found the story to be a bit lackluster and overall I did not feel as involved with the protagonists as much as I was with the previous game.', 'jogo para desligar o cérebro e matar polícias']"",30K,829,3.2K,664";
"24,Cyberpunk 2077,""Dec 09, 2020"",['CD Projekt RED'],3.3,1.5K,1.5K,""['Adventure', 'RPG', 'Shooter']"",""Cyberpunk 2077 is an open-world, action-adventure story set in Night City, a megalopolis obsessed with power, glamour and body modification. You play as V, a mercenary outlaw going after a one-of-a-kind implant that is the key to immortality. You can customize your character’s cyberware, skillset and playstyle, and explore a vast city where the choices you make shape the story and the world around you."",""[""""It's a game"""", 'I love the setting , lore , visuals , and the god tier soundtrack but what I played of the story was just ok and the side content is very dull. I’m gonna be honest edgerunners baited me into buying this game and it’s my fault', 'Story is all over the place but still manages to make you feel something. Gameplay is fun but its way too easy to become overpowered.', 'Besides the pretty colors and cool rtx visuals this game falls flat on its face. If this game was like a car it would be a 99 honda civic with $5k rims.', """"I thought I would enjoy the story... I didn't. Everything else is\n                     \n                      ok\n                     \n                     ."""", 'Enjoyable! I like it when gun goes bang and vibe be like """"futuristic""""']"",13K,1.5K,4.7K,2.9K";
"25,God of War Ragnarök,""Nov 09, 2022"",""['Sony Interactive Entertainment', 'SIE Santa Monica Studio']"",4.4,1.7K,1.7K,""['Adventure', 'Brawler']"",""God of War: Ragnarök is the ninth installment in the God of War series and the sequel to 2018's God of War. Continuing with the Norse mythology theme, the game is set in ancient Norway and feature series protagonists Kratos, the former Greek God of War, and his young son Atreus. The game is expected to kick off the events of Ragnarök, where Kratos and Atreus must journey to each of the Nine Realms in search of answers as they prepare for the prophesied battle that will end the world."",""['Amazang !', 'Deep storytelling, intense gameplay, beautiful graphics.', """"An amazing sequel to it's previous but I think the pervious game is superior in the story."""", 'A sequel to one of the biggest games of 2018 and it’s BEYOND bloated as hell!', 'GoW 2018 is my second favorite game of all time, right next to the original Half-Life, and this was a big disappointment.', 'Clapped at the end like white people on a plane']"",5.3K,801,2K,3.3K";
"26,Xenoblade Chronicles 3,""Jul 29, 2022"",""['Monolith Soft', 'Nintendo']"",4.4,1.4K,1.4K,""['Adventure', 'RPG']"",""A vast world awaits in Xenoblade Chronicles 3, the next game in the acclaimed RPG series from developer Monolithsoft. Players will step into the roles of protagonists Noah and Mio amid turmoil between the hostile nations of Keves and Agnus. Six characters hailing from those nations will take part in a grand tale with “life” as its central theme. Explore a new world that will connect the futures of both Xenoblade Chronicles and Xenoblade Chronicles 2."",""[""""Not my fav XB game, I didn't grow attached to the cast in general and overall I felt that the game always wanted to show me how great it was compared to the others- which I didn't like."""", 'I love this video game', """"Most of the content I consume doesn't affect me emotionally, but even I experienced an emotional damage from Xenoblade Chronicles 3 because its world was so depressive and the musics were supporting that depressive atmosphere. Thanks to Tetsuya Takahashi's great storytelling, I found myself caring about the characters, the story, and of course, the world."""", 'Woah', 'This certainly was a long game. For context i have played xenoblade 1dx and seen 2 on youtube, so i will mostly probobly be comparing it to xenoblade 1. The concept is immedietly quite interesting, although', """"hmmmmmmm. Kind of a divisive one here for me personally. While I liked the characters, the plot felt kind of lacking and the connections to the other games in the series that were so hyped up by nintendo in marketing really didn't add to much, if anything. You could have replaced the references to the previous games with original stuff and nothing substantial would be different. In that aspect, this game was really disappointing. The villains were also an absolute joke, with the Mobius guys being the most generically boring guys in history and N being immensely less cool the more you learn about him. In terms of the gameplay though, it was certainly fun. The class system makes combat very customizable and I feel its absolutely possible to sink your teeth really into managing your party to get the most out of all your options. I also did a lot of side content in this game, which is uncharacteristic of me as I beelined it through the first two games. Exploration of the worlds is always fun in xenoblade games, and this is no exception. Perhaps I am just getting tired of the series, but this definitely didn't hit as much as the first or even the second game to me. Still would suggest to anyone that enjoyed the first two games because the gameplay is still fun but like yeaaaahh...""""]"",3.9K,795,2.1K,2.2K";
"27,Kirby and the Forgotten Land,""Mar 25, 2022"",""['HAL Laboratory', 'Nintendo']"",4.2,1.6K,1.6K,""['Adventure', 'Platform']"",""Join Kirby in an unforgettable journey through a mysterious world in a delightful 3D platforming adventure. Take control of the powerful pink puffball, Kirby, and move around freely in 3D stages as you discover a mysterious world with abandoned structures from a past civilization - like a shopping mall?! Copy enemies’ abilities like Sword and Ice and use them to attack and explore your surroundings! What journey awaits Kirby? Take a deep breath and get ready for an unforgettable adventure!"",""['Kirby and the Forgotten Land is one of the harder games for me to rate. The reason for this is what I think of the game vs my own personal feelings with the game.', 'Keep making games like this Hal', 'Incredible jump to 3D for the Kirby games while still managing to feel like a classic Kirby title. The game makes amazing use of 3D environments to add a new layer of exploration and creativity to every single level, and I had a lot of fun clearing the main and extra stories with all bonus challenges. While the main content is easy and very chill, bonus optional content can be very tricky. Only thing I disliked were a few difficulty spikes in some side objectives and the lack of a """"restart from checkpoint"""" button but, overall, this is a masterful game that makes the most out of its simplicity as a Kirby game, but this time you can swallow a whole car and spit it unharmed.', """"kirby and the ermmmmm??? GOAT???\n                     \n                     if future kirby games are like this, i totally wouldn't mind that. the gameplay is quite honestly an upgrade to the original formula. the bosses quite specifically, are the most fun fights i've had in quite a while. great stuff, right here"""", 'Perhaps the best Kirby game since 64 and Roboplanet, with great ability upgrades, inventive levels, great bosses, and, of course, a thick layer of cute smothered all over every aspect.', 'Replayed with the kids. The later levels and the treasure road portals make great use of every power. The hidden waddle dees push you to explore, sure, but also demand perfection for a few bosses. And the forgotten islands prove the developers knew exactly what they were doing - a few enemies get additional move sets that expertly increase the pressure. If anything, I wanted a dodge move to help me out some more.\n                     \n                     I kept Easy on the entire play through and barely scraped by the back part of the game. Yet it’s always changing enemy and levels up enough that it never feels repetitive. If anything, I was left wanting just a taste more.\n                     \n                     Overall, a great Kirby game and a great video game.']"",5.9K,955,2.5K,3.1K";
"28,Disco Elysium: The Final Cut,""May 01, 2020"",['ZA/UM'],4.6,1.1K,1.1K,""['Adventure', 'Indie', 'RPG']"",""Disco Elysium: The Final Cut is a groundbreaking role playing game. You’re a detective with a unique skill system at your disposal and a whole city to carve your path across. Interrogate unforgettable characters, crack murders or take bribes. Become a hero or an absolute disaster of a human being. The Final Cut adds full voice acting to the game, as well as new quests, more characters and fresh explorable areas."",""[""""a captivating journey from start to finish. this uses its characters and dialogue to such great effect, making everything feel intertwined. our protagonist's mind especially was so interesting to delve into and finding out little bits and pieces of his identity was just a joy to do. while the game lets u do things without kitsuragi at times, i never wanted to as he brought much to every scene he was active in. very satisfying resolution and to top it off, its simply hilarious at times as well\n                     \n                     i love kim kitsuragi sm"""", 'I love you, Kim Kitsuragi', 'one of the most interesting, politically poignant pieces of art i’ve ever had the pleasure of consuming', """"I couldn't finish day 1. Playing this game feels like a chore, which is never a good sign. This was my second attempt at finishing the game and I actually got a lot further than on my first one. I might pick this up again sometime in the future, but I don't think this game is for me."""", 'Still unsure whether I like the ending or not and for a game with some of the best worldbuilding I’ve ever seen I wish more of the game had to do with that world - but at the end of the day it’s still the best writing any game has ever had so can’t be too mad', """"I was very scared of playing this because I knew it has a lot of text and a crazy big skill tree.\n                     \n                     First day ingame was horrible, I kept making bad decisions and throws and even got a game-over. Also the game talks about politics in a deep and serious way so I kinda felt like a kid in an adult game haha. I honestly thought I would just abandonned it but at the end of the day there's this discussion you have with Kitsuragi and he's being very nice and comprehensive and it put me in a good mood";" So I just decided to go with the fact that I'm playing a pretty bad cop and continue with the game.\n                     \n                     In the end I really liked it, beautiful art direction and visuals, I loved discovering more about the world. Tho I still probably didn't really understood all the themes and ideas of this game ...""""]"",6K,1.2K,5K,2.7K"
"29,Marvel's Spider-Man,""Sep 07, 2018"",""['Insomniac Games', 'Sony Interactive Entertainment']"",4.1,2.5K,2.5K,""['Adventure', 'Brawler']"",""Starring the world’s most iconic Super Hero, Spider-Man features the acrobatic abilities, improvisation and web-slinging that the wall-crawler is famous for, while also introducing elements never-before-seen in a Spider-Man game. From traversing with parkour and utilizing the environment, to new combat and blockbuster set pieces, it’s Spider-Man unlike any you’ve played before."",""['Platinum', 'This is a spiderman game', 'abartıldığı kadar iyi değil ama oldukça iyi', 'Best Spider-Man game? Easily. Only nostalgia can beat it.', 'Really makes you feel like Spider-Man', 'Just incredible. The story? tears. The gameplays? so fun.']"",21K,577,2.9K,2.2K";
"30,Dark Souls III,""Mar 24, 2016"",""['Bandai Namco Entertainment', 'FromSoftware']"",4.2,2.4K,2.4K,""['Adventure', 'RPG']"",""Dark Souls continues to push the boundaries with the latest, ambitious chapter in the critically-acclaimed and genre-defining series. Prepare yourself and embrace the darkness!"",""['The only soulsborne game I dont ever want to replay.', """"Finally beat this one after 5 years. Not as enjoyable as the other souls-like for me and i can't really put my finger on it. But it was still dark souls so overall a good time!"""", 'meh, a mi parece el peor... me parece re poco rejugable y aburrid', 'perfect.', 'Lacks a bit of the soul/charm that made DS1 an instant classic but it has some of the best areas in the series and is BY FAR the most consistent game From has ever made from a boss standpoint until Sekiro released', 'This was fun.. we played so many times']"",19K,851,4.3K,2.2K";
"31,NieR Replicant ver.1.22474487139...,""Apr 22, 2021"",""['Toylogic', 'Square Enix']"",4.2,1.5K,1.5K,""['Adventure', 'RPG']"",""NieR Replicant ver.1.22474487139... is an updated version of NieR Replicant, previously only released in Japan. Discover the one-of-a-kind prequel to the critically-acclaimed masterpiece NieR: Automata. Now with a modern upgrade, experience masterfully revived visuals, a fascinating storyline and more!"",""['Not as good as automata but still slaps', 'Tem dos piores game designs que já vi num jogo de mundo aberto\n                     \n                     Yoko Taro é mid', 'Todos os elogios a versão original se aplicam aqui porém o meu apego pelo NieR Gestalt não me deixa dar nota máxima pra esse Remake. Sem contar que ele tentou copiar bastante o Automata e isso me desagradou bastante principalmente no visual que eu achava fantástico no original.', 'Muito bom, porem, embora seja um remake, ainda continua com uma cara de jogo antigo, me prendeu até o primeiro final, não tankei fazer todos os outros 4', 'Nier is such a memorable game that changed the ways that stories could be told. Playing the game again and again to see different perspectives and context is such a creative tool when given limited tools. The gameplay is fun, and is just a classic hack and slash with magic tools that are all fun to use against enemies.', """"The good story and hot characters does not redeem the game from it's Devil May Cry 2 level of action game design""""]"",6.7K,880,4.1K,3.7K";
"32,Super Mario 64,""Jun 23, 1996"",""['Nintendo', 'Nintendo EAD']"",4.1,2.6K,2.6K,""['Adventure', 'Platform']"",""The first three dimensional entry in the Mario franchise, Super Mario 64 follows Mario as he puts his broadened 3D movement arsenal to use in order to rescue Princess Peach from the clutches of his arch rival Bowser. Mario has to jump into worlds-within-paintings ornamenting the walls of Peach's castle, uncover secrets and hidden challenges and collect golden stars as reward for platforming trials."",""['We all know the importance of this game and what it brought to video games as a whole.', 'Some fun jumping', 'The perfect sudo conclusion to the series that just takes all of the best elements of mario and expands upon them. Hot take, I actually like the camera in this game', 'ahhh eu queria zerar mas ainda não zerei, pq eu vou zerar depois. SO LONG LE BOWSER', 'AMO DEMAIS ESSE JOGO MEU DEUS QUE JOGO PERFEITO', 'A masterpiece. Easily in the conversation of the best game of all time. This is coming from someone with no nostalgia tied to it and playing it 27 years after release. Blown away by how well it holds up especially in terms of level design and platforming. The camera was a minor nuisance not enough to detract from the value and the controls were not a problem. Aged like wine.']"",21K,463,2.5K,775";
"33,Super Smash Bros. Ultimate,""Dec 07, 2018"",""['Sora', 'Nintendo']"",4.1,2.5K,2.5K,""['Fighting', 'Platform']"",""Legendary game worlds and fighters collide in the ultimate showdown—a new entry in the Super Smash Bros. series for the Nintendo Switch system! New fighters, like Inkling from the Splatoon series and Ridley from the Metroid series, make their Super Smash Bros. series debut alongside every Super Smash Bros. fighter in the series…EVER! Faster combat, new items, new attacks, new defensive options, and more will keep the battle raging whether you’re at home or on the go."",""['Recomendadisimo (aunque """"el modo historia"""" no lo llamaria asi XD)', 'i hate it but i love it !', """"I'm a Captain Falcon main sadge"""", 'hide your children. do not let them go anywhere near the smash bros. community, and as adults, you still do not let them go anywhere near the smash bros. community. fun casual game, please take casual showers.', 'Sakurai u gotta stop doing this to urself', """"It is without a doubt the definitive version of a well-refined formula. I just never had fun playing any of the games in the franchise. I bought this one hoping the solo mode would deliver, unfortunately it's never-ending grind with very little payoff.""""]"",25K,1.2K,1.1K,801";
"34,Cuphead,""Sep 29, 2017"",['Studio MDHR'],4.1,1.9K,1.9K,""['Arcade', 'Indie', 'Platform', 'Shooter']"",""Cuphead is a classic run and gun action game heavily focused on boss battles. Inspired by cartoons of the 1930s, the visuals and audio are painstakingly created with the same techniques of the era, i.e. traditional cel animation (hand drawn & hand inked!), watercolor backgrounds, and original jazz recordings. Play as Cuphead or Mugman (in single player or co-op) as you traverse strange worlds, acquire new weapons, learn powerful super moves, and discover hidden secrets. Cuphead is all action, all the time."",""['FANTASTIC MUSIC!!!!! Great art style (obviously) and really fun gameplay. Definitely had me picking up the controller again instead of breaking a TV, i call that patience!', 'Amo o estilo cartoon desse jogo.', 'clllllllllllaaaasico', 'A great boss rush game with a great 1930s cartoony art style. The only drawback is the inclusion of linear stages that are too easy and not interesting enough that they shouldn’t have been included.', 'A brilliant, hard but clever and never unfair run-and-gun shooter. The platformer levels were unnecessary and are not as good as the others, though.', """"I've had a bit of a troubled history with Cuphead. Before now I've tried it on two different occasions, both with varying results. My first attempt ended pretty swiftly since I didn't have a controller and the keyboard controls are... really bad! The game didn't quite jive with me at that point, but my main problem at that point was the hell that is cuphead with keyboard controls. A year or two later, I would play through the whole game, and later the DLC, in co-op with a friend. We did this over Steam so there was a bit of lag, but I had a controller and a friend to help me through. I enjoyed the game a lot more, to the point where I was the one pushing us to do the DLC together, but it still didn't quite enamour me like I'd wanted it to. My main complaint at the time was the design of some of the bosses. I felt that a lot of them relied on being able to pay attention to cues and bullets coming from multiple parts of the screen, often with them all acting completely independently. I have a huge amount of trouble processing all of that information, so oftentimes I found bosses just far too overwhelming. Not a design issue or anything, more of a personal one.""""]"",18K,1.2K,4.5K,2.6K";
"35,Sekiro: Shadows Die Twice,""Mar 22, 2019"",""['FromSoftware', 'Activision']"",4.4,2.3K,2.3K,""['Adventure', 'Brawler']"",""Enter a dark and brutal new gameplay experience from the creators of Bloodborne and the Dark Souls series. Sekiro: Shadows Die Twice is an intense, third-person, action-adventure set against the bloody backdrop of 14th-century Japan. Step into the role of a disgraced warrior brought back from the brink of death whose mission is to rescue his master and exact revenge on his arch nemesis.";
             ;
;
"              Take Revenge. Restore Your Honor. Kill Ingeniously."",""[""""Im waiting for this game to grab me but it hasn't happened yet.\n                     \n                     I dont know why I enjoy dying to the same boss for 3 hours in Soulsborne games but not in this game."""", 'Loved this a lot. I missed the sense of exploration from Dark Souls, but the core action mechanics and satisfying parries more than made up for it. Other than a basic whole number for your damage and health, there\'s no worrying about RPG values here. It\'s a true action game taking place within the open-world Metroid-ish Souls structure, backed up with\n                     \n                      some\n                     \n                     items and buffs and junk if you decide to use them. But the lack of gear is probably the best thing about this - no armour sets, no elemental stats, no sword that deals +5 damage but -2 stamina. Funnily enough, people say this is the hardest FromSoftware game, but after a while it felt much, much easier to me than Dark Souls\n                     \n                      because\n                     \n                     there was nothing in my way except my own skill, which I greatly prefer. No main bosses that required some stupid consumable item for me to defeat properly. I don\'t like feeling as if I need to grind to make myself better, because then it\'s this vague guessing game of numbers. There were a few points in Dark Souls where I felt robbed of a boss fight because I must have been over-levelled, or I said """"screw it"""", summoned an NPC once and then steam-rolled the boss. No hollow victories here in Sekiro - although admittedly, once you get that perfect parry timing down, sometimes victory comes so fast that it\n                     \n                      almost\n                     \n                     feels unsatisfying. Happened to me with the final boss, funnily enough.', 'It only took me three playthroughs but I finally like this game! Still has a lot of baffling decisions sprinkled throughout, though, which isn\'t new for a Fromsoft game but this game is far more rigid in terms of there being a """"correct"""" way to approach encounters so it only magnifies these issues when they appear. Soulsborne games (and ESPECIALLY Elden Ring) usually have a billion different ways you can break the game over your knee if something is really giving you trouble, but most of the time in Sekiro if the game throws something at you that\'s bad and sucks you have to actually engage with the thing that\'s bad and sucks, and that\'s bad and sucks.', """"Toujours en balance avec Bloodborne et Dark Souls pour le titre de meilleur jeu de chez FromSoftware. Une caméra un peu capricieuse par moments mais sinon c'est intestable."""", 'The best demonstration there is that I am right about Dark Souls.', """"It's over""""]"",14K,919,4.8K,3.4K";
"36,Final Fantasy VII,""Jan 31, 1997"",""['Square', 'Eidos Interactive']"",4.2,2.9K,2.9K,""['Adventure', 'RPG', 'Turn Based Strategy']"",""Final Fantasy VII is the seventh main installment in the Final Fantasy series, and was the first title to feature three-dimensional graphics, pre-rendered backgrounds and numerous full motion videos.";
             ;
;
              The gameplay is a departure from previous entries in the series in many ways. Though it retains the Active Time Battle pseudo-turn based menu command system, FFVII features three party members rather than four. The Materia system allows the player to customize each party member's abilities to their liking, and the Limit system grants them unique combat skills.;
             ;
;
"              Though minigames had been a recurring feature, FFVII introduces numerous new ones, many of them playable in the theme park Gold Saucer varying from racing with Chocobos to snowboarding."",""['I bought this game on Nintendo Switch with a $20 dollar Switch gift card I bought myself as a end of the school year present. I just finished Sophomore year and life was pretty rough. I started playing FF7 and my life began to change a lil bit. I was so confused playing it, but that just made me want to play it more. I used to work at a summer camp and on the bus ride there, I would take my switch and play it. 40 minutes there, 40 minutes back. So on average, I played an hour and 20 minutes a day of FF7.', 'play dragon quest instead', 'honestly not that good as some people say,but still interesting and some characters are cool', 'This guy are sick', 'really chill of them to add a random encounter toggle and x3 speed setting to accommodate for my rapidly disintegrating frontal lobe', """"What the hell do I even say here? It's FF7. It's beautiful. (Story wise, at least).""""]"",15K,1.1K,5K,1.5K";
